time,price
22-12-2020,48.89
22-12-2020,48.87
22-12-2020,48.89
22-12-2020,48.9
22-12-2020,48.92
22-12-2020,48.89
22-12-2020,48.9
22-12-2020,48.89
22-12-2020,48.9
22-12-2020,48.91
22-12-2020,48.9
22-12-2020,48.89
22-12-2020,48.9
22-12-2020,48.91
22-12-2020,48.9
22-12-2020,48.91
22-12-2020,48.9
22-12-2020,48.89
22-12-2020,48.89
22-12-2020,48.9
22-12-2020,48.89
22-12-2020,48.9
22-12-2020,48.89
22-12-2020,48.88
22-12-2020,48.89
22-12-2020,48.88
22-12-2020,48.89
22-12-2020,48.88
22-12-2020,48.88
22-12-2020,48.88
22-12-2020,48.88
22-12-2020,48.88
22-12-2020,48.89
22-12-2020,48.88
22-12-2020,48.87
22-12-2020,48.88
22-12-2020,48.87
22-12-2020,48.88
22-12-2020,48.87
22-12-2020,48.88
22-12-2020,48.87
22-12-2020,48.86
22-12-2020,48.85
22-12-2020,48.86
22-12-2020,48.85
22-12-2020,48.86
22-12-2020,48.85
22-12-2020,48.84
22-12-2020,48.85
22-12-2020,48.84
22-12-2020,48.85
22-12-2020,48.84
22-12-2020,48.85
22-12-2020,48.84
22-12-2020,48.85
22-12-2020,48.86
22-12-2020,48.87
22-12-2020,48.88
22-12-2020,48.87
22-12-2020,48.88
22-12-2020,48.89
22-12-2020,48.88
22-12-2020,48.89
22-12-2020,48.88
22-12-2020,48.89
22-12-2020,48.88
22-12-2020,48.89
22-12-2020,48.96
22-12-2020,48.86
22-12-2020,48.87
22-12-2020,48.86
22-12-2020,48.87
22-12-2020,48.86
22-12-2020,48.87
22-12-2020,48.86
22-12-2020,48.87
22-12-2020,48.86
22-12-2020,48.87
22-12-2020,48.86
22-12-2020,48.87
22-12-2020,48.86
22-12-2020,48.87
22-12-2020,48.86
22-12-2020,48.85
22-12-2020,48.86
22-12-2020,48.85
22-12-2020,48.84
22-12-2020,48.85
22-12-2020,48.86
22-12-2020,48.85
22-12-2020,48.86
22-12-2020,48.87
22-12-2020,48.88
22-12-2020,48.87
22-12-2020,48.86
22-12-2020,48.85
22-12-2020,48.86
22-12-2020,48.87
22-12-2020,48.86
22-12-2020,48.87
22-12-2020,48.86
22-12-2020,48.87
22-12-2020,48.86
22-12-2020,48.87
22-12-2020,48.86
22-12-2020,48.86
22-12-2020,48.86
22-12-2020,48.87
22-12-2020,48.86
22-12-2020,48.86
22-12-2020,48.87
